ID	t	A0	notFoundBySE
64	10	0.964399	
64	14	0.260369	
65	0	0.410481	
65	3	0.304668	
65	5	0.330138	
65	10	0.309091	
66	0	0.226211	
66	1	0.177251	
66	3	0.134476	
66	7	0.0978772	
67	0	0.131003	
67	1	0.283691	
67	3	0.342419	
67	7	0.174548	
68	0	0.691682	
68	1	0.47981	
68	3	0.406124	
68	5	0.558248	
68	7	0.530018	
68	10	0.226821	
68	14	0.454093	
69	0	0.414052	
69	3	0.469588	
69	5	0.325475	
69	14	0.311295	
70	0	0.289974	
70	1	0.290435	
70	3	0.255089	
70	7	0.17951	
70	14	0.104083	
71	0	0.285546	
71	1	0.233023	
71	3	0.19591	
71	5	0.238106	
71	7	0.132737	
71	10	0.155964	
71	14	0.122778	
72	5	0.404323	
72	7	0.351597	
72	10	0.431304	
72	14	0.259977	
73	0	0.218904	
73	1	0.176182	
73	3	0.16186	
73	5	0.116106	
74	0	0.430553	
74	1	0.374083	
74	3	0.315499	
74	5	0.281512	
74	7	0.217994	
74	10	0.188332	
74	14	0.144815	
75	0	0.351977	
75	1	0.310182	
75	5	0.202002	
75	7	0.152383	
76	0	0.325424	
76	1	0.267212	
76	5	0.178856	
76	7	0.166261	
77	0	0.542459	
77	3	0.414783	
77	5	0.352693	
77	7	0.31932	
77	10	0.14926	
77	14	0.220464	
78	0	0.485323	
78	1	1.0195	
78	3	0.363209	
78	5	0.29772	
78	7	0.275611	
78	10	0.239471	
78	14	0.207195	
79	0	1	
79	3	0.440865	
79	5	1	
79	7	0.328227	
79	10	0.260688	
79	14	0.243747	
80	0	0.353038	
80	3	0.251844	
80	5	0.20611	
80	7	0.170095	
80	10	0.148423	
80	14	0.0948001	
81	0	0.35658	
81	1	0.332515	
81	3	0.244458	
81	5	0.197982	
81	10	0.153944	
82	0	0.451009	
82	1	0.460979	
82	3	0.347785	
82	5	0.270663	
82	7	0.237651	
82	10	0.23235	
82	14	0.127571	
83	0	0.441915	
83	1	0.374714	
83	3	0.261811	
83	5	0.209947	
83	7	0.233946	
83	10	0.512404	
83	14	0.117974	
84	0	0.501589	
84	1	0.510532	
84	3	0.393384	
84	5	0.363419	
84	10	0.248522	
84	14	0.213183	
85	0	0.120988	
85	1	0.201095	
85	3	0.0739427	
85	5	0.156655	
86	0	0.304865	
86	1	0.308946	
86	3	0.244596	
86	5	0.182004	
86	7	0.161533	
86	10	0.549672	
86	14	0.0839771	
87	1	0.411813	
87	3	0.370104	
87	7	0.282147	
87	14	0.171926	
88	0	0.294276	
88	1	0.277963	
88	3	0.279025	
88	5	0.233544	
88	7	0.187319	
88	10	0.15811	
88	14	0.117462	
89	0	0.716276	
89	1	0.389669	
89	5	0.271369	
89	7	0.222037	
89	10	0.201609	
89	14	0.129729	
90	0	0.342066	
90	3	0.368086	
90	5	0.384019	
90	14	0.282659	
91	1	0.256581	
91	7	0.0748677	
91	10	0.151074	
91	14	0.0464121	
92	0	0.309842	
92	1	0.281968	
92	3	0.190764	
92	5	0.131207	
92	7	0.113277	
92	10	0.580174	
92	14	0.0387595	
93	0	0.528899	
93	1	0.466059	
93	3	0.520953	
93	5	0.491666	
93	7	0.468628	
93	10	0.588954	
93	14	0.426407	
94	0	0.621586	
94	1	0.624031	
94	3	0.561458	
94	5	0.530114	
94	7	0.531597	
94	14	0.470971	
95	0	0.314446	
95	1	0.264535	
95	3	0.183402	
95	5	0.122786	
95	7	0.109398	
95	10	0.0920808	
96	0	0.274152	
96	1	0.251747	
96	3	0.214109	
96	7	0.0881235	
97	0	0.510603	
97	1	0.420156	
97	7	0.256869	
97	10	0.140442	
98	0	0.393063	
98	7	0.147329	
98	10	0.173473	
98	14	0.125955	
99	0	0.356147	
99	3	0.196967	
99	5	0.252575	
99	7	0.0774274	
100	0	0.316962	
100	1	0.375994	
100	3	0.248366	
100	5	0.127584	
100	7	0.375112	
100	10	0.0957949	
101	0	0.534555	
101	1	0.534746	
101	3	0.280466	
101	5	0.189353	
101	7	0.209431	
101	10	0.0133097	
101	14	0.997746	
102	0	0.387334	
102	1	0.344899	
102	5	0.203739	
102	7	0.171755	
103	0	0.637069	
103	1	0.317496	
103	3	0.412716	
103	5	0.331796	
103	7	0.590685	
103	10	0.32023	
103	14	0.288841	
104	0	0.340553	
104	1	0.363475	
104	3	0.309258	
104	5	0.26471	
104	7	0.227052	
104	10	0.239061	
104	14	0.19659	
105	0	0.141864	
105	1	0.29859	
105	3	0.329171	
105	5	0.378221	
105	7	0.189484	
105	10	0.303272	
105	14	0.20887	
106	0	0.492658	
106	1	0.463383	
106	3	0.438737	
106	5	0.40321	
106	7	0.406184	
106	10	0.422653	
106	14	0.339641	
107	0	0.582257	
107	1	0.585585	
107	3	0.570368	
107	7	0.535112	
107	10	0.505867	
107	14	0.491171	
108	0	0.391071	
108	1	0.387708	
108	3	0.365666	
108	5	0.324542	
108	7	0.325189	
108	10	0.291346	
108	14	0.238979	
109	0	0.419145	
109	1	0.381537	
109	3	0.371893	
109	5	0.324368	
109	7	0.315394	
109	10	0.283963	
109	14	0.242914	
110	0	0.561319	
110	1	0.552124	
110	3	0.535606	
110	5	0.833573	
110	7	0.469989	
110	10	0.441819	
110	14	0.282565	
111	0	0.499491	
111	1	0.545464	
111	3	0.308264	
111	7	0.440653	
111	10	0.405583	
112	0	0.518036	
112	1	0.552991	
112	3	0.511457	
112	5	0.992383	
112	7	0.491085	
112	10	0.461255	
112	14	0.434478	
113	0	0.642336	
113	1	0.636057	
113	3	0.577177	
113	5	0.605212	
113	7	0.40495	
113	14	0.327399	
114	0	0.417472	
114	1	0.452527	
114	3	0.282974	
114	5	0.446846	
114	7	0.452199	
114	10	0.37713	
114	14	0.281829	
115	0	0.346667	
115	1	0.31256	
115	3	0.299845	
115	5	0.22658	
115	7	0.216983	
115	10	0.239427	
115	14	0.154465	
116	0	0.523647	
116	3	0.230703	
116	5	0.103645	
116	7	0.142735	
116	10	0.234855	
117	0	0.658346	
117	3	0.538053	
117	5	0.292391	
117	7	0.337398	
118	0	0.484732	
118	1	0.448077	
118	3	0.410191	
118	5	0.369817	
118	7	0.346302	
118	10	0.497363	
118	14	0.256178	
119	0	0.301487	
119	1	0.285148	
119	3	0.301806	
119	5	0.293385	
119	7	0.256885	
119	10	0.270076	
119	14	0.239268	
120	0	0.335366	
120	1	0.292974	
120	3	0.322947	
120	5	0.402902	
120	7	0.282805	
120	10	0.296383	
120	14	0.234697	
121	0	0.491777	
121	1	0.577964	
121	3	0.502422	
121	5	0.489095	
121	7	0.439613	
121	10	0.480015	
121	14	0.433928	
122	0	0.573076	
122	1	0.621867	
122	3	0.515394	
122	5	0.305777	
122	7	0.248097	
122	10	0.328772	
122	14	0.205726	
123	0	0.416498	
123	1	0.426418	
123	3	0.400436	
123	7	0.42031	
123	14	0.383618	
124	0	0.412908	
124	1	0.417356	
124	3	0.398917	
124	5	0.381665	
124	7	0.362986	
124	10	0.317724	
124	14	0.319803	
125	1	0.305891	
125	5	0.246648	
125	7	0.290323	
125	10	0.351696	
125	14	0.200172	
126	0	0.466147	
126	1	0.435908	
126	3	0.324801	
126	5	0.584242	
126	7	0.409417	
126	10	0.375726	
126	14	0.320122	
127	0	0.55181	
127	1	0.577693	
127	3	0.55829	
127	5	0.527329	
127	7	0.487099	
127	10	0.494732	
127	14	0.0932551	
128	0	0.302087	
128	1	0.534972	
128	3	0.539038	
128	5	0.53951	
128	7	0.276609	
128	10	0.476128	
128	14	0.457959	
129	0	0.487333	
129	1	0.46114	
129	3	0.619182	
129	5	0.425128	
129	7	0.314381	
129	10	0.262947	
129	14	0.156861	
130	0	0.376671	
130	3	0.360645	
130	5	0.223729	
130	14	0.183867	
131	0	0.612016	
131	1	0.264534	
131	3	0.638791	
131	5	0.259025	
131	7	0.34391	
131	10	0.235903	
131	14	0.435029	
132	0	0.355567	
132	1	0.246358	
132	3	0.123868	
132	5	0.434213	
132	7	0.420485	
132	10	0.299725	
133	0	0.99069	
133	1	0.60631	
133	5	0.418135	
133	7	0.575801	
133	10	0.437301	
134	0	0.363923	
134	1	0.308001	
134	3	0.285919	
134	5	0.243924	
134	7	0.234512	
134	10	0.215406	
134	14	0.156684	
135	0	0.178923	
135	1	0.149107	
135	5	0.116906	
135	7	0.107525	
135	14	0.0542588	
136	0	0.467101	
136	1	0.434171	
136	3	0.436212	
136	7	0.291136	
136	10	0.411454	
137	1	0.524198	
137	5	0.492527	
137	7	0.433764	
137	14	0.374867	
138	0	0.512278	
138	1	0.562652	
138	3	0.415199	
138	5	0.360068	
138	7	0.348355	
138	10	0.339778	
138	14	0.261219	
139	0	0.454642	
139	1	0.401546	
139	3	0.379481	
139	5	0.618809	
139	7	0.301933	
139	10	0.258495	
140	0	0.237009	
140	1	0.215981	
140	3	0.187509	
140	5	0.176333	
141	0	0.497071	
141	1	0.390584	
141	3	0.145333	
141	5	0.374273	
141	7	0.543313	
141	10	0.284333	
141	14	0.445258	
142	0	0.420035	
142	3	0.351156	
142	5	0.481241	
142	10	0.332436	
143	0	0.322407	
143	1	0.0794401	
143	3	0.342521	
143	5	0.340026	
144	0	0.238234	
144	3	0.435269	
144	7	0.305869	
144	10	0.322014	
144	14	0.306797	
145	0	0.42951	
145	1	0.419554	
145	3	0.344737	
145	5	0.235564	
145	7	0.328752	
145	10	0.427596	
145	14	0.133533	
146	0	0.390939	
146	1	0.341956	
146	3	0.246797	
146	7	0.208738	
146	10	0.121056	
146	14	0.0998991	
147	0	0.163851	
147	1	0.171587	
147	3	0.124059	
147	5	0.131385	
147	7	0.164524	
147	10	0.18476	
147	14	0.0837951	
148	0	0.433668	
148	1	0.373614	
148	5	0.315573	
148	7	0.310215	
148	14	0.270948	
149	0	0.470997	
149	1	0.305562	
149	5	0.226405	
149	7	0.222844	
149	14	0.237971	
150	0	0.185408	
150	1	0.221207	
150	5	0.172089	
150	7	0.208896	
150	10	0.121227	
151	0	0.394458	
151	5	0.269598	
