ID	t	A0
1	30	0.166846462930316
1	22	0.129312311064404
1	17	0.0934818143174849
1	12	0.0703199286605181
1	9	0.0585012644112876
1	6	0.0364220466140215
1	4	0.0222953589222124
1	3	0.0146660161700238
1	2	0.0089848017009407
1	1	0.00631780554517802
1	0	0.000197389823122178
2	30	0.16983355442261
2	22	0.131193583155082
2	17	0.0953788797865396
2	12	0.0716410083502953
2	9	0.0602331043384585
2	6	0.0374589641627032
2	4	0.023291315960919
2	3	0.0153745187230743
2	2	0.00984662295824911
2	1	0.00712971416608991
2	0	0.000650309734004725
