ID	t	A0
1	30	0.166846462930316
1	22	0.129312311064404
1	17	0.0934818143174849
1	12	0.0703199286605181
1	9	0.0585012644112876
1	6	0.0364220466140215
1	4	0.0222953589222124
1	3	0.0146660161700238
1	2	0.0089848017009407
1	1	0.00631780554517802
1	0	0.000197389823122178
2	30	0.16983355442261
2	22	0.131193583155082
2	17	0.0953788797865396
2	12	0.0716410083502953
2	9	0.0602331043384585
2	6	0.0374589641627032
2	4	0.023291315960919
2	3	0.0153745187230743
2	2	0.00984662295824911
2	1	0.00712971416608991
2	0	0.000650309734004725
3	30	0.171775220553439
3	22	0.132171815821385
3	17	0.0980479654334922
3	12	0.07266465801817
3	9	0.0616659467399848
3	6	0.038601328688893
3	4	0.0251135063550915
3	3	0.0170338279934445
3	2	0.0109244237705859
3	1	0.00805574685652709
3	0	0.00363905146307131
4	30	0.164083669388913
4	22	0.128750971457711
4	17	0.092765701147789
4	12	0.0705311066022354
4	9	0.0592869462986864
4	6	0.035703492343796
4	4	0.0217063342110764
4	3	0.0144863785654866
4	2	0.00914810283822758
4	1	0.00587864336741597
4	0	8.12841778157611e-05
5	30	0.169336746338439
5	22	0.129716020277532
5	17	0.0928354867131784
5	12	0.070348081134281
5	9	0.0581244342144166
5	6	0.0361377048198141
5	4	0.0222585289654959
5	3	0.0146353949927736
5	2	0.00917978860612418
5	1	0.00631255096899694
5	0	0.000641447763599696
6	30	0.14998399918653
6	22	0.114915789503498
6	17	0.0800870235471675
6	12	0.0611374814831893
6	9	0.0512232939953609
6	6	0.0331954167975539
6	4	0.0203575065642244
6	3	0.0225019135350053
6	2	0.0194794903402514
6	1	0.015691919813439
6	0	0.0172513141519305
7	30	0.0797923520673847
7	22	0.054579824558427
7	17	0.0366743331362024
7	12	0.0250983544382393
7	9	0.0210700054972086
7	6	0.0106812901896464
7	4	0.00536004747662404
7	3	0.00240590716784037
7	2	0.00141302100973528
7	1	0.000847628477163109
7	0	0.00106238739911417
8	30	0.202946805645124
8	22	0.169328932270774
8	17	0.129876599950939
8	12	0.0955016210517149
8	9	0.0954607697528575
8	6	0.0659784881033364
8	4	0.0565004692364254
8	3	0.108497346764201
8	2	0.082192982715647
8	1	0.0813611317316449
8	0	0.0560169592768082
9	30	0.235748558132556
9	22	0.216650472183288
9	17	0.212323554977088
9	12	0.204315944391332
9	9	0.198169597464993
9	6	0.186810659577759
9	4	0.173385178726277
9	3	0.163223966532661
9	2	0.145265575193706
9	1	0.139998963059174
9	0	0.28639111554966
10	30	0.228119997560006
10	22	0.205621577411314
10	17	0.200789483976352
10	12	0.192712441807693
10	9	0.190017026723953
10	6	0.157925180804122
10	4	0.129865844344411
10	3	0.087230722937726
10	2	0.0751948511192453
