ID t A0
1 30 0.25087615381937
1 22 0.193573124451183
1 17 0.11635951590665
1 12 0.0917450016524662
1 9 0.0699941415573207
1 6 0.0453181661755939
1 4 0.0246103894811151
1 3 0.017002781636909
1 2 0.0115448951383124
1 1 0.00809352539671132
1 0 0.00705526833891258
2 30 0.248482101211429
2 22 0.191046417523435
2 17 0.111264819311792
2 12 0.0907785322461191
2 9 0.0685935403845435
2 6 0.0368686935677207
2 4 0.0222633300535919
2 3 0.0150328991408121
2 2 0.00989585702337401
2 1 0.00442174428840587
2 0 0.00307362147136571
3 30 0.241473356437287
3 22 0.18712257612803
3 17 0.108167863098722
3 12 0.088461119211481
3 9 0.0692420960284518
3 6 0.0391599331832858
3 4 0.0234132035290253
3 3 0.0168363827933438
3 2 0.011136471520228
3 1 0.00943983202557595
3 0 0.00881621514543421
4 30 0.246568881353188
4 22 0.190371495192811
4 17 0.112090209771116
4 12 0.0905543062727612
4 9 0.0686257716649965
4 6 0.039687702706279
4 4 0.0234605786581667
4 3 0.0146018518922126
4 2 0.0103205670038542
4 1 0.0048196387382141
4 0 0.00173790785426649
5 30 0.243321284227518
5 22 0.189295535020378
5 17 0.105590143794023
5 12 0.0880599438605384
5 9 0.0662216385899874
5 6 0.0349646533340692
5 4 0.0191881528325073
5 3 0.0124161013072535
5 2 0.00746214050441636
5 1 0.00232686362764701
5 0 0.000225514226212333
6 30 0.244545981379102
6 22 0.20776995322925
6 17 0.149157898095936
6 12 0.110154375779091
6 9 0.118831619454027
6 6 0.133494639126226
6 4 0.0612865325405367
6 3 0.0406182325895517
6 2 0.0483747167305996
6 1 0.0484180174266562
6 0 0.0482798282071612
7 30 0.252361254679189
7 22 0.211858032822569
7 17 0.133779176356991
7 12 0.110066162476951
7 9 0.102578548878037
7 6 0.110895518225437
7 4 0.0471319126953031
7 3 0.0314890012734287
7 2 0.0294962296179872
7 1 0.0228746500027448
7 0 0.0207945087388911
8 30 0.243273665083123
8 22 0.188181854148833
8 17 0.107049364314906
8 12 0.0901800355749869
8 9 0.0663587057801306
8 6 0.0365885576292392
8 4 0.0219475294808966
8 3 0.0128297372935702
8 2 0.00941322129239977
8 1 0.00326839569476712
8 0 0.00472602460069185
9 30 0.374291353851121
9 22 0.322423355227228
9 17 0.275527290440739
9 12 0.239156031308782
9 9 0.189316354468685
9 6 0.130878299143799
9 4 0.0984025347038387
9 3 0.066162186791849
9 2 0.0434074692920386
9 1 0.0284140749993023
9 0 0.007388825396075
10 30 0.37895920330076
10 22 0.340628140245675
10 17 0.288340154445487
10 12 0.257273797861034
10 9 0.200875170289746
10 6 0.140266253090108
10 4 0.0995528627687818
10 3 0.0726210039987841
10 2 0.0430816680989448
10 1 0.028426975399055
10 0 0.00248454869060466
11 30 0.377918230550413
11 22 0.333301253754209
11 17 0.284363740200242
11 12 0.253962324771679
11 9 0.200313598524142
11 6 0.140329546134091
11 4 0.100743738395442
11 3 0.0758476969055834
11 2 0.046756800631686
11 1 0.0319010381464819
11 0 0.00814968351060714
12 30 0.378001956709074
12 22 0.343327083889666
12 17 0.291265083429375
12 12 0.252475613373579
12 9 0.194292287860772
12 6 0.13637025142633
12 4 0.0922287466156718
12 3 0.0640838172432122
12 2 0.0387818749531752
12 1 0.0271885253485487
12 0 0.00162902808274303
13 30 0.383310519773396
13 22 0.331887530380312
13 17 0.296545440054815
13 12 0.269063279295895
13 9 0.209982026409023
13 6 0.23455300034601
13 4 0.156725907189283
13 3 0.122822590499786
13 2 0.0948338916465979
13 1 0.104501862850522
13 0 0.0453383732221505
14 30 0.38591758352282
14 22 0.338406072622981
14 17 0.282647205005564
14 12 0.266267833736393
14 9 0.199291195382523
14 6 0.139166804021466
14 4 0.115224835214577
14 3 0.0813357166625691
14 2 0.0539020536660237
14 1 0.0412317366261239
14 0 0.0236938665872496
15 30 0.372042268217786
15 22 0.316245821986365
15 17 0.288768679921085
15 12 0.277997375502721
15 9 0.201230711377915
15 6 0.142144951154507
15 4 0.123574363528366
15 3 0.128229794193417
15 2 0.0879591073061834
15 1 0.0770003164210362
15 0 0.0304938863780562
16 30 0.390138798407238
16 22 0.329415993762768
16 17 0.244442359218954
16 12 0.242651188329875
16 9 0.190436140395029
16 6 0.101124971194671
16 4 0.0782370197270435
16 3 0.058975837254817
16 2 0.0376092207222045
16 1 0.0305965656494884
16 0 0.00939794153964483
17 30 0.380638175500467
17 22 0.327561745947612
17 17 0.281741710550074
17 12 0.243142661934001
17 9 0.215955098964984
17 6 0.115062938498721
17 4 0.0906965881224754
17 3 0.0875671089671143
17 2 0.0557072907465533
17 1 0.0582586898360199
17 0 0.0270754660570539
18 30 0.373621528743753
18 22 0.325400009630555
18 17 0.278865705671227
18 12 0.246884725736277
18 9 0.196876502483395
18 6 0.133058080190305
18 4 0.0945699422095238
18 3 0.0688506782593658
18 2 0.0400201802611267
18 1 0.0267773584768296
18 0 0.000895932814045147
19 30 0.264819900480618
19 22 0.297207057533296
19 17 0.11927462273613
19 12 0.181309384215038
19 9 0.118382236381068
19 6 0.0797160595549394
19 4 0.053647721198658
19 3 0.0225437664808912
19 2 0.00371517066372492
19 1 0.0073837192270685
19 0 0.0202778896621911
20 30 0.374930140262435
20 22 0.33549138314346
20 17 0.282798916612118
20 12 0.247621475743176
20 9 0.203248112195665
20 6 0.136741682329037
20 4 0.101886544223609
20 3 0.0748903427428875
20 2 0.042749795463932
20 1 0.0278964097229506
20 0 0.000547836973951232
21 30 0.386822918729245
21 22 0.354698310060168
21 17 0.299466432462582
21 12 0.264620665493816
21 9 0.216024148197228
21 6 0.150319094641542
21 4 0.111340255308796
21 3 0.0850420899926371
21 2 0.0499710571083662
21 1 0.0365895921767853
21 0 0.00846312557024868
22 30 0.384656734501341
22 22 0.351952960695497
22 17 0.298574633770849
22 12 0.2654466238723
22 9 0.215872194933391
22 6 0.15246311321039
22 4 0.110945315596051
22 3 0.0835648748766412
22 2 0.0475728610704965
22 1 0.0330319396245835
22 0 0.00258435188626407
23 30 0.379661998576147
23 22 0.339643966742524
23 17 0.288976515285086
23 12 0.250883138522968
23 9 0.201309254263847
23 6 0.143429737197723
23 4 0.102823422932243
23 3 0.0728431415601251
23 2 0.0411538256543176
23 1 0.0275495241914381
23 0 8.74264635508316e-05
24 30 0.383932237665069
24 22 0.344247033098933
24 17 0.292873709706775
24 12 0.254068702959168
24 9 0.207523749268765
24 6 0.146589814829806
24 4 0.108313740578121
24 3 0.0792538661266959
24 2 0.0494978863040565
24 1 0.0332252362837338
24 0 0.00886639474990183
25 30 0.376452996537703
25 22 0.267346927089843
25 17 0.276930040564026
25 12 0.264943172551689
25 9 0.237369136179296
25 6 0.165448756091795
25 4 0.153389737600573
25 3 0.104836863515833
25 2 0.129429740974287
25 1 0.138128113980979
25 0 0.085408417460424
26 30 0.411782021530553
26 22 0.356852922903331
26 17 0.309663783768193
26 12 0.274369345407783
26 9 0.225939602713294
26 6 0.156759883403819
26 4 0.11074026920935
26 3 0.0558357440378896
26 2 0.0556221737222268
26 1 0.0660493801175143
26 0 0.0400164578200907
27 30 0.208806488337617
27 22 0.183805197038932
27 17 0.212385505798953
27 12 0.189830630474673
27 9 0.166579484598512
27 6 0.0719215683864664
27 4 0.0386997417837734
27 3 0.03750970566988
27 2 0.0171935037609188
27 1 0.000279276549662553
27 0 0.00507002222697602
28 30 0.264885012619262
28 22 0.229104432508213
28 17 0.185654161979585
28 12 0.163930494657737
28 9 0.133700573096244
28 6 0.0947195624950015
28 4 0.0687179699350574
28 3 0.0533948683441578
28 2 0.0347132122637619
28 1 0.0226594138636023
28 0 0.00458712861576637
29 30 0.269223628732686
29 22 0.199596925533246
29 17 0.150071398206349
29 12 0.133983800928232
29 9 0.110555985211645
29 6 0.0731267529523905
29 4 0.0536715870823574
29 3 0.0505943833605533
29 2 0.0346043700995404
29 1 0.019991127231833
29 0 0.016052442179692
30 30 0.268127702773321
30 22 0.230722229407745
30 17 0.189091858049428
30 12 0.165091675185013
30 9 0.130784557080723
30 6 0.0939922765644107
30 4 0.0690075133754707
30 3 0.0504204255595346
30 2 0.0303290764764841
30 1 0.0211984442594504
30 0 0.00101899653415275
31 30 0.248331996205293
31 22 0.194040254971766
31 17 0.113555285199096
31 12 0.0904956500902643
31 9 0.0744162559836364
31 6 0.0428541776133971
31 4 0.0304208779052291
31 3 0.0187576288884803
31 2 0.0192980369140493
31 1 0.0108272865425055
31 0 0.014655974318582
32 30 0.257962968301632
32 22 0.221636740208924
32 17 0.175177235128279
32 12 0.0825532086589132
32 9 0.0635755889675194
32 6 0.0360612751494851
32 4 0.0617944937860886
32 3 0.0224071905113586
32 2 0.0321123410967989
32 1 0.0472277656963615
32 0 0.0614000469683484
33 30 0.24603029706126
33 22 0.193031055532317
33 17 0.109870656414168
33 12 0.0911500121038401
33 9 0.0714704411547569
33 6 0.0482964789656628
33 4 0.0268295166484792
33 3 0.0179120895083874
33 2 0.0160449349174031
33 1 0.0085904808781573
33 0 0.0147568985249013
34 30 0.260588119793618
34 22 0.192767262371689
34 17 0.108272008620991
34 12 0.0894835664694844
34 9 0.0655995384054495
34 6 0.0393011361318278
34 4 0.0209064438786146
34 3 0.0129645505553798
34 2 0.00958432623028725
34 1 0.00512426525276066
34 0 0.00287711327795977
35 30 0.243985604354062
35 22 0.201355016343812
35 17 0.260485812344255
35 12 0.121059465977444
35 9 0.204558487323476
35 6 0.0855448969839074
35 4 0.17921559187609
35 3 0.122857658494679
35 2 0.249588524544386
